Wall time,Step,Value
1715688429.3527777,7047,-0.32871145009994507
1715688430.137146,7066,-0.3246060013771057
1715688430.6703472,7080,-0.32152724266052246
1715688431.3068728,7093,-0.32332900166511536
1715688432.2178884,7111,-0.33052945137023926
1715688434.2007577,7163,-0.37035560607910156
1715688434.734138,7176,-0.37428221106529236
1715688435.5036595,7195,-0.3803527355194092
1715688436.1361399,7211,-0.3842335045337677
1715688436.721814,7226,-0.38118672370910645
1715688437.2691097,7240,-0.3771442174911499
1715688437.9696171,7258,-0.37976470589637756
1715688438.554347,7272,-0.370076984167099
1715688439.2048538,7289,-0.3688940703868866
1715688440.0354202,7310,-0.36929240822792053
1715688440.733409,7328,-0.36740031838417053
1715688441.2612553,7341,-0.36060476303100586
1715688441.682599,7351,-0.35215064883232117
1715688443.9541502,7414,-0.387321412563324
1715688446.0787158,7474,-0.43192949891090393
1715688446.6501997,7489,-0.42627063393592834
1715688447.15025,7501,-0.42046114802360535
1715688447.7703936,7517,-0.4240511953830719
1715688448.3374033,7532,-0.42515483498573303
1715688448.9216628,7547,-0.4198918044567108
1715688449.4719307,7561,-0.4214346408843994
1715688449.9032645,7571,-0.41173288226127625
1715688450.3694286,7582,-0.40588104724884033
1715688450.9064474,7596,-0.4059278666973114
1715688451.5818443,7612,-0.40161192417144775
1715688452.2502923,7629,-0.36682599782943726
1715688453.371622,7660,-0.3824895918369293
1715688454.0301347,7677,-0.37768325209617615
1715688458.3788838,7694,-0.3785947263240814
1715688462.400049,7704,-0.37448662519454956
1715688466.4219494,7728,-0.38635870814323425
1715688470.4415905,7744,-0.3841628134250641
1715688474.4620278,7757,-0.38349688053131104
1715688478.4826183,7768,-0.378275603055954
1715688482.505017,7780,-0.36982885003089905
1715688486.5259986,7793,-0.36538445949554443
1715688490.5468924,7805,-0.36508291959762573
1715688494.5675604,7826,-0.379717618227005
1715688498.5892622,7847,-0.35235464572906494
1715688502.6113515,7863,-0.311337947845459
1715688506.6315966,7880,-0.30908137559890747
1715688510.6537552,7900,-0.31648898124694824
1715688514.6754508,7911,-0.3122673034667969
1715688518.6971204,7920,-0.30545657873153687
